tau1,tau2,num-tau1,num-tau2,id-tau1,id-tau2
-13,-11,1,0,-13,-11
-13,1,1,2,-13,1
2,1,4,2,2,1
1,1,2,0,1,-11
0,1,3,2,0,1
1,2,2,4,1,2
1,0,2,3,1,0
1,-11,2,0,1,-11
2,1,6,2,11,1
-13,-11,1,0,-13,-11
-13,0,1,3,-13,0
1,-11,2,0,1,-11
0,-13,3,1,0,-13
1,1,2,2,1,1
10,1,5,2,10,1
-11,-13,0,1,-11,-13
10,1,5,2,10,1
2,-13,6,1,11,-13
10,1,5,2,10,1
11,1,6,2,11,1
10,-11,5,0,10,-11
1,2,2,2,1,1
-13,-13,1,1,-13,-13
-11,1,2,2,1,1
11,-13,6,1,11,-13
-11,-11,0,0,-11,-11
11,-13,6,1,11,-13
-11,1,0,2,-11,1
2,2,6,2,11,1
10,2,5,2,10,1
-11,1,0,2,-11,1
10,1,2,2,1,1
2,-13,4,1,2,-13
2,0,2,3,1,0
-13,1,1,2,-13,1
10,2,5,2,10,1
11,-13,6,1,11,-13
-1,-13,5,1,10,-13
10,1,5,2,10,1
-13,1,1,2,-13,1
1,-13,2,1,1,-13
-11,11,0,5,-11,10
-11,2,0,2,-11,1
1,-13,3,1,0,-13
1,1,2,2,1,1
-11,-11,0,0,-11,-11
1,-11,2,0,1,-11
10,-11,5,0,10,-11
-13,-13,1,1,-13,-13
10,1,5,2,10,1
-11,-13,0,1,-11,-13
2,1,4,2,2,1
-13,2,1,4,-13,2
-11,2,0,4,-11,2
1,0,2,3,1,0
10,1,5,2,10,1
1,2,2,2,1,1
10,-13,5,1,10,-13
2,1,2,2,1,1
-11,-13,0,1,-11,-13
0,3,3,5,0,10
-13,0,1,3,-13,0
-13,0,1,6,-13,11
1,-11,2,0,1,-11
1,10,2,5,1,10
1,-11,2,0,1,-11
-11,-11,0,0,-11,-11
1,-11,2,2,1,1
3,1,6,2,11,1
-13,0,1,3,-13,0
-11,-11,8,0,-333,-11
12,2,6,2,11,1
1,10,2,5,1,10
10,-11,5,0,10,-11
0,-13,3,8,0,-333
1,-11,4,4,2,2
-11,1,0,2,-11,1
-11,-11,0,0,-11,-11
-11,1,0,2,-11,1
1,-13,2,1,1,-13
0,11,3,6,0,11
1,1,2,2,1,1
2,-13,4,1,2,-13
11,0,5,3,10,0
-11,-13,0,1,-11,-13
1,-13,2,1,1,-13
1,-11,2,0,1,-11
2,-13,4,1,2,-13
10,1,5,4,10,2
-11,0,0,3,-11,0
0,1,3,2,0,1
10,-13,5,1,10,-13
-13,-11,1,0,-13,-11
-13,1,1,2,-13,1
-11,-11,0,0,-11,-11
-13,10,1,6,-13,11
-13,1,1,2,-13,1
2,1,6,2,11,1
-13,1,1,2,-13,1
0,-11,3,0,0,-11
1,-11,2,0,1,-11
0,1,3,2,0,1
1,-11,2,0,1,-11
-13,1,1,2,-13,1
-11,0,0,5,-11,10
-11,0,0,3,-11,0
10,11,5,5,10,10
2,11,6,5,11,10
1,2,2,2,1,1
10,10,5,5,10,10
1,-13,2,1,1,-13
-13,0,3,3,0,0
1,-13,2,1,1,-13
0,0,3,3,0,0
11,-11,5,0,10,-11
-11,-13,2,2,1,1
-13,2,1,4,-13,2
-13,0,1,0,-13,-11
2,1,4,2,2,1
10,11,6,6,11,11
1,-13,2,1,1,-13
2,2,5,8,10,-333
0,0,3,3,0,0
-11,1,0,2,-11,1
10,2,5,2,10,1
2,-11,4,0,2,-11
2,1,2,2,1,1
1,1,2,2,1,1
-13,1,1,2,-13,1
2,0,2,3,1,0
10,-13,5,1,10,-13
10,0,6,3,11,0
-11,0,0,3,-11,0
2,-13,2,1,1,-13
-13,10,1,2,-13,1
1,-13,2,1,1,-13
2,1,2,2,1,1
-11,3,0,4,-11,2
-11,0,2,0,1,-11
12,10,6,5,11,10
11,-11,6,0,11,-11
11,1,6,2,11,1
-13,1,1,3,-13,0
1,1,2,2,1,1
1,-11,2,0,1,-11
0,-11,3,0,0,-11
-11,-13,0,1,-11,-13
-13,10,1,5,-13,10
1,-11,2,0,1,-11
-13,11,1,6,-13,11
10,1,5,4,10,2
0,11,3,6,0,11
-13,2,1,2,-13,1
-11,1,0,2,-11,1
1,-11,2,0,1,-11
-13,0,1,3,-13,0
1,-11,2,0,1,-11
-11,1,0,4,-11,2
10,-13,5,1,10,-13
-11,-13,2,1,1,-13
0,-11,5,0,10,-11
11,2,6,4,11,2
-13,1,1,2,-13,1
1,-11,2,0,1,-11
1,0,2,1,1,-13
-13,10,1,5,-13,10
